text,id,created,is_retweet,favorites,retweets
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379145250741051394,2021-04-05 18:53:45,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379144196909584387,2021-04-05 18:49:34,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379144082778419200,2021-04-05 18:49:07,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379142847316774925,2021-04-05 18:44:12,True,0,304
"b'RT @OnHerTurf: Last night, Holly Rowe highlighted that Arizona head coach Adia Barnes was delayed coming out of the locker room after halft\xe2\x80\xa6'",1379140251793375233,2021-04-05 18:33:53,True,0,27
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379140013514973185,2021-04-05 18:32:57,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379139913241788422,2021-04-05 18:32:33,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379139795658637314,2021-04-05 18:32:05,True,0,304
"b'RT @OnHerTurf: Last night, Holly Rowe highlighted that Arizona head coach Adia Barnes was delayed coming out of the locker room after halft\xe2\x80\xa6'",1379139015782199299,2021-04-05 18:28:59,True,0,27
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379135888769224705,2021-04-05 18:16:33,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379135160445190146,2021-04-05 18:13:39,True,0,304
"b'RT @OnHerTurf: Last night, Holly Rowe highlighted that Arizona head coach Adia Barnes was delayed coming out of the locker room after halft\xe2\x80\xa6'",1379135031151591427,2021-04-05 18:13:09,True,0,27
"b'RT @OnHerTurf: Last night, Holly Rowe highlighted that Arizona head coach Adia Barnes was delayed coming out of the locker room after halft\xe2\x80\xa6'",1379134953372450817,2021-04-05 18:12:50,True,0,27
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379134648496713730,2021-04-05 18:11:37,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379134181599494147,2021-04-05 18:09:46,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379132994577780736,2021-04-05 18:05:03,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379128264111894530,2021-04-05 17:46:15,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379125253599862795,2021-04-05 17:34:18,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379125176651018240,2021-04-05 17:33:59,True,0,304
"b'RT @RachelRCarlson: It\xe2\x80\x99s Stanford women for the win!\xc2\xa0\xc2\xa0But props are owed to Arizona coach &amp; new mom Adia Barnes.\xc2\xa0\xc2\xa0\n\nAs the announcer said,\xe2\x80\xa6'",1379124293133549568,2021-04-05 17:30:29,True,0,3
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379123787065655296,2021-04-05 17:28:28,True,0,304
"b'RT @OnHerTurf: Last night, Holly Rowe highlighted that Arizona head coach Adia Barnes was delayed coming out of the locker room after halft\xe2\x80\xa6'",1379122751374454785,2021-04-05 17:24:21,True,0,27
"b'RT @OnHerTurf: Last night, Holly Rowe highlighted that Arizona head coach Adia Barnes was delayed coming out of the locker room after halft\xe2\x80\xa6'",1379119926095527936,2021-04-05 17:13:07,True,0,27
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379119166704119808,2021-04-05 17:10:06,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379117422079188993,2021-04-05 17:03:10,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379117285084909575,2021-04-05 17:02:38,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379116511193862148,2021-04-05 16:59:33,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379116285544570882,2021-04-05 16:58:39,True,0,304
"b'RT @OnHerTurf: Last night, Holly Rowe highlighted that Arizona head coach Adia Barnes was delayed coming out of the locker room after halft\xe2\x80\xa6'",1379115050804203524,2021-04-05 16:53:45,True,0,27
"b'RT @OnHerTurf: Last night, Holly Rowe highlighted that Arizona head coach Adia Barnes was delayed coming out of the locker room after halft\xe2\x80\xa6'",1379115050586284035,2021-04-05 16:53:45,True,0,27
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379114610863783942,2021-04-05 16:52:00,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379113697633767424,2021-04-05 16:48:22,True,0,304
"b'RT @OnHerTurf: Last night, Holly Rowe highlighted that Arizona head coach Adia Barnes was delayed coming out of the locker room after halft\xe2\x80\xa6'",1379113183911153670,2021-04-05 16:46:20,True,0,27
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379113128412151808,2021-04-05 16:46:07,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379112756532641796,2021-04-05 16:44:38,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379112592946380805,2021-04-05 16:43:59,True,0,304
